Ship_Type,Ship_Mode_Detail,Segment,Country,City,State,County_or_State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin (%),Unit Selling Price (After Discount),Profit per Unit,Estimated List Price (Before Discount),Discount Impact (Revenue Lost Due to Discount)
First,Class,Consumer,United,States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0%,19.7316,29%,9.72,2.8188,9.72,0
Standard,Class,Consumer,United,States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,50%,-407.682,-66%,102.95,-67.947,205.9,617.7
First,Class,Corporate,United,States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,40%,-11.994,-20%,11.994,-2.3988,19.99,39.98
Standard,Class,Consumer,United,States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0%,20.6976,48%,3.08,1.4784,3.08,0
Second,Class,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,20%,10.35,13%,41.4,5.175,51.75,20.7
Standard,Class,Corporate,United,States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0%,103.8015,27%,34.95,9.4365,34.95,0
Standard,Class,Corporate,United,States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0%,5.9988,4%,49.99,1.9996,49.99,0
Standard,Class,Corporate,United,States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0%,585.552,30%,243.98,73.194,243.98,0
Second,Class,Consumer,United,States,Seattle,Washington,98115,West,Furniture,Chairs,457.568,2,20%,51.4764,11%,228.784,25.7382,285.98,114.392
Standard,Class,Consumer,United,States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0%,236.2325,25%,134.99,33.7475,134.99,0
Second,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2,20%,1.3596,3%,27.192,0.6798,33.99,13.596
Second,Class,Consumer,United,States,Newark,Ohio,43055,East,Furniture,Chairs,396.802,7,30%,-11.3372,-3%,56.686,-1.6196,80.98,170.058
Second,Class,Corporate,United,States,Decatur,Illinois,62521,Central,Technology,Accessories,408.744,7,20%,76.6395,19%,58.392,10.9485,72.99,102.186
First,Class,Consumer,United,States,Denver,Colorado,80219,West,Furniture,Tables,218.75,2,50%,-161.875,-74%,109.375,-80.9375,218.75,218.75
Standard,Class,Corporate,United,States,Franklin,Tennessee,37064,South,Furniture,Furnishings,35.168,7,20%,9.6712,28%,5.024,1.3816,6.28,8.792
Standard,Class,Consumer,United,States,Whittier,California,90604,West,Technology,Phones,444.768,4,20%,44.4768,10%,111.192,11.1192,138.99,111.192
Standard,Class,Consumer,United,States,Saginaw,Michigan,48601,Central,Technology,Phones,131.98,2,0%,35.6346,27%,65.99,17.8173,65.99,0
Second,Class,Corporate,United,States,Dallas,Texas,75220,Central,Technology,Accessories,20.8,2,20%,6.5,31%,10.4,3.25,13,5.2
Standard,Class,Corporate,United,States,Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5,50%,-244.323,-54%,90.49,-48.8646,180.98,452.45
Standard,Class,Corporate,United,States,Medina,Ohio,44256,East,Technology,Phones,62.982,3,40%,-14.6958,-23%,20.994,-4.8986,34.99,41.988
Standard,Class,Corporate,United,States,Medina,Ohio,44256,East,Technology,Machines,1188,9,70%,-950.4,-80%,132,-105.6,440,2772
Standard,Class,Corporate,United,States,Medina,Ohio,44256,East,Technology,Accessories,89.584,2,20%,4.4792,5%,44.792,2.2396,55.99,22.396
First,Class,Consumer,United,States,Dublin,Ohio,43017,East,Furniture,Furnishings,72.704,4,20%,19.0848,26%,18.176,4.7712,22.72,18.176
First,Class,Consumer,United,States,Dublin,Ohio,43017,East,Technology,Machines,479.988,4,70%,-383.9904,-80%,119.997,-95.9976,399.99,1119.972
Standard,Class,Corporate,United,States,Detroit,Michigan,48227,Central,Furniture,Tables,622.45,5,0%,136.939,22%,124.49,27.3878,124.49,0
Standard,Class,Consumer,United,States,Columbia,Tennessee,38401,South,Furniture,Chairs,161.568,2,20%,-28.2744,-18%,80.784,-14.1372,100.98,40.392
Standard,Class,Consumer,United,States,Columbia,Tennessee,38401,South,Furniture,Chairs,389.696,8,20%,43.8408,11%,48.712,5.4801,60.89,97.424
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Furnishings,419.68,5,60%,-356.728,-85%,83.936,-71.3456,209.84,629.52
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Furnishings,11.688,3,60%,-4.6752,-40%,3.896,-1.5584,9.74,17.532
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Technology,Phones,31.984,2,20%,11.1944,35%,15.992,5.5972,19.99,7.996
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Tables,177.225,5,50%,-120.513,-68%,35.445,-24.1026,70.89,177.225
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Furnishings,4.044,3,60%,-2.8308,-70%,1.348,-0.9436,3.37,6.066
Standard,Class,Corporate,United,States,Chicago,Illinois,60623,Central,Furniture,Furnishings,12.132,9,60%,-8.4924,-70%,1.348,-0.9436,3.37,18.198
Standard,Class,Corporate,United,States,Chicago,Illinois,60623,Central,Technology,Phones,647.904,6,20%,56.6916,9%,107.984,9.4486,134.98,161.976
Second,Class,Corporate,United,States,Houston,Texas,77036,Central,Technology,Machines,3059.982,3,40%,-509.997,-17%,1019.994,-169.999,1699.99,2039.988
Second,Class,Corporate,United,States,Houston,Texas,77036,Central,Technology,Machines,2519.958,7,40%,-251.9958,-10%,359.994,-35.9994,599.99,1679.972
Standard,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Technology,Phones,328.224,4,20%,28.7196,9%,82.056,7.1799,102.57,82.056
Standard,Class,Consumer,United,States,Brentwood,California,94513,West,Technology,Accessories,79.9,2,0%,35.156,44%,39.95,17.578,39.95,0
Second,Class,Consumer,United,States,Houston,Texas,77070,Central,Technology,Phones,1114.4,7,20%,376.11,34%,159.2,53.73,199,278.6
Standard,Class,Consumer,United,States,Portland,Oregon,97206,West,Technology,Accessories,239.8,5,20%,47.96,20%,47.96,9.592,59.95,59.95
Standard,Class,Consumer,United,States,Chicago,Illinois,60623,Central,Furniture,Tables,219.075,3,50%,-131.445,-60%,73.025,-43.815,146.05,219.075
Second,Class,Corporate,United,States,Arvada,Colorado,80004,West,Furniture,Furnishings,15.136,4,20%,3.5948,24%,3.784,0.8987,4.73,3.784
Second,Class,Corporate,United,States,Arvada,Colorado,80004,West,Furniture,Chairs,466.768,2,20%,52.5114,11%,233.384,26.2557,291.73,116.692
Second,Class,Corporate,United,States,Arvada,Colorado,80004,West,Furniture,Furnishings,15.232,1,20%,1.7136,11%,15.232,1.7136,19.04,3.808
Standard,Class,Corporate,United,States,Hesperia,California,92345,West,Technology,Accessories,99.99,1,0%,34.9965,35%,99.99,34.9965,99.99,0
Second,Class,Corporate,United,States,Murfreesboro,Tennessee,37130,South,Furniture,Furnishings,15.992,1,20%,0.9995,6%,15.992,0.9995,19.99,3.998
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,290.898,3,40%,-67.8762,-23%,96.966,-22.6254,161.61,193.932
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,786.744,4,30%,-258.5016,-33%,196.686,-64.6254,280.98,337.176
Second,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,82.8,2,40%,-20.7,-25%,41.4,-10.35,69,55.2
Second,Class,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Technology,Phones,71.928,12,40%,8.3916,12%,5.994,0.6993,9.99,47.952
Same,Day,Corporate,United,States,Manchester,Connecticut,6040,East,Furniture,Bookcases,1043.92,4,0%,271.4192,26%,260.98,67.8548,260.98,0
Standard,Class,Consumer,United,States,Tucson,Arizona,85705,West,Technology,Accessories,1023.936,8,20%,179.1888,18%,127.992,22.3986,159.99,255.984
Standard,Class,Consumer,United,States,Tucson,Arizona,85705,West,Technology,Accessories,479.04,10,20%,-29.94,-6%,47.904,-2.994,59.88,119.76
Standard,Class,Corporate,United,States,Franklin,Massachusetts,2038,East,Furniture,Tables,1488.424,7,30%,-297.6848,-20%,212.632,-42.5264,303.76,637.896
Second,Class,Corporate,United,States,Taylor,Michigan,48180,Central,Technology,Accessories,41.9,2,0%,8.799,21%,20.95,4.3995,20.95,0
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Technology,Machines,482.34,4,70%,-337.638,-70%,120.585,-84.4095,401.95,1125.46
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,2.96,1,20%,0.777,26%,2.96,0.777,3.7,0.74
Second,Class,Consumer,United,States,Houston,Texas,77036,Central,Furniture,Bookcases,2396.2656,4,32%,-317.1528,-13%,599.0664,-79.2882,880.98,1127.6544
Second,Class,Consumer,United,States,Houston,Texas,77036,Central,Technology,Accessories,57.584,2,20%,0.7198,1%,28.792,0.3599,35.99,14.396
Standard,Class,Corporate,United,States,Seattle,Washington,98105,West,Furniture,Chairs,307.136,4,20%,26.8744,9%,76.784,6.7186,95.98,76.784
First,Class,Consumer,United,States,Louisville,Colorado,80027,West,Technology,Accessories,196.752,6,20%,56.5662,29%,32.792,9.4277,40.99,49.188
Standard,Class,Corporate,United,States,Lawrence,Massachusetts,1841,East,Furniture,Furnishings,56.56,4,0%,14.7056,26%,14.14,3.6764,14.14,0
Second,Class,Consumer,United,States,Jackson,Mississippi,39212,South,Furniture,Chairs,866.4,4,0%,225.264,26%,216.6,56.316,216.6,0
Second,Class,Corporate,United,States,Canton,Michigan,48187,Central,Furniture,Furnishings,28.4,2,0%,11.076,39%,14.2,5.538,14.2,0
Standard,Class,Consumer,United,States,Jacksonville,Florida,32216,South,Technology,Accessories,247.8,5,20%,-18.585,-8%,49.56,-3.717,61.95,61.95
Second,Class,Consumer,United,States,Detroit,Michigan,48227,Central,Furniture,Furnishings,12.22,1,0%,3.666,30%,12.22,3.666,12.22,0
Second,Class,Consumer,United,States,Detroit,Michigan,48227,Central,Furniture,Chairs,242.94,3,0%,29.1528,12%,80.98,9.7176,80.98,0
Second,Class,Consumer,United,States,Columbus,Indiana,47201,Central,Furniture,Furnishings,2.91,1,0%,1.3677,47%,2.91,1.3677,2.91,0
Standard,Class,Corporate,United,States,Akron,Ohio,44312,East,Furniture,Tables,284.364,2,40%,-75.8304,-27%,142.182,-37.9152,236.97,189.576
Standard,Class,Corporate,United,States,Norman,Oklahoma,73071,Central,Technology,Accessories,63.88,4,0%,24.9132,39%,15.97,6.2283,15.97,0
Standard,Class,Consumer,United,States,Concord,California,94521,West,Furniture,Chairs,129.568,2,20%,-24.294,-19%,64.784,-12.147,80.98,32.392
Standard,Class,Consumer,United,States,Decatur,Illinois,62521,Central,Furniture,Chairs,747.558,3,30%,-96.1146,-13%,249.186,-32.0382,355.98,320.382
Standard,Class,Consumer,United,States,Seattle,Washington,98115,West,Technology,Accessories,899.91,9,0%,377.9622,42%,99.99,41.9958,99.99,0
Standard,Class,Corporate,United,States,Amarillo,Texas,79109,Central,Furniture,Bookcases,205.3328,2,32%,-36.2352,-18%,102.6664,-18.1176,150.98,96.6272
First,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Technology,Phones,2735.952,6,20%,341.994,13%,455.992,56.999,569.99,683.988
Standard,Class,Consumer,United,States,Seattle,Washington,98115,West,Technology,Accessories,93.98,2,0%,13.1572,14%,46.99,6.5786,46.99,0
Second,Class,Consumer,United,States,Memphis,Tennessee,38109,South,Furniture,Tables,189.882,3,40%,-94.941,-50%,63.294,-31.647,105.49,126.588
Standard,Class,Corporate,United,States,Parker,Colorado,80134,West,Furniture,Chairs,801.568,2,20%,50.098,6%,400.784,25.049,500.98,200.392
First,Class,Consumer,United,States,Gladstone,Missouri,64118,Central,Furniture,Furnishings,126.3,3,0%,40.416,32%,42.1,13.472,42.1,0
First,Class,Consumer,United,States,Gladstone,Missouri,64118,Central,Technology,Accessories,38.04,2,0%,12.1728,32%,19.02,6.0864,19.02,0
Standard,Class,Consumer,United,States,Houston,Texas,77041,Central,Technology,Accessories,18.392,1,20%,5.2877,29%,18.392,5.2877,22.99,4.598
First,Class,Corporate,United,States,Detroit,Michigan,48234,Central,Furniture,Tables,210.98,2,0%,21.098,10%,105.49,10.549,105.49,0
Second,Class,Consumer,United,States,Montgomery,Alabama,36116,South,Technology,Phones,979.95,5,0%,274.386,28%,195.99,54.8772,195.99,0
Standard,Class,Consumer,United,States,Henderson,Kentucky,42420,South,Furniture,Chairs,283.92,4,0%,70.98,25%,70.98,17.745,70.98,0
First,Class,Corporate,United,States,Tucson,Arizona,85705,West,Technology,Phones,380.864,8,20%,38.0864,10%,47.608,4.7608,59.51,95.216
First,Class,Consumer,United,States,Jacksonville,Florida,32216,South,Furniture,Furnishings,34.504,1,20%,6.0382,18%,34.504,6.0382,43.13,8.626
Second,Class,Consumer,United,States,Tampa,Florida,33614,South,Furniture,Furnishings,13.128,3,20%,3.7743,29%,4.376,1.2581,5.47,3.282
Standard,Class,Corporate,United,States,Seattle,Washington,98105,West,Furniture,Chairs,451.152,3,20%,0,0%,150.384,0,187.98,112.788
Standard,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Furnishings,8.792,1,60%,-5.7148,-65%,8.792,-5.7148,21.98,13.188
Standard,Class,Consumer,United,States,Denver,Colorado,80219,West,Technology,Phones,470.376,3,20%,52.9173,11%,156.792,17.6391,195.99,117.594
Standard,Class,Consumer,United,States,Denver,Colorado,80219,West,Technology,Phones,105.584,2,20%,9.2386,9%,52.792,4.6193,65.99,26.396
Standard,Class,Consumer,United,States,Denver,Colorado,80219,West,Technology,Phones,406.368,4,20%,30.4776,8%,101.592,7.6194,126.99,101.592
Standard,Class,Consumer,United,States,Richmond,Kentucky,40475,South,Furniture,Chairs,70.98,1,0%,4.9686,7%,70.98,4.9686,70.98,0
Standard,Class,Consumer,United,States,Salem,Oregon,97301,West,Technology,Phones,84.784,2,20%,-20.1362,-24%,42.392,-10.0681,52.99,21.196
Standard,Class,Consumer,United,States,Laredo,Texas,78041,Central,Technology,Accessories,31.2,3,20%,9.75,31%,10.4,3.25,13,7.8
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,143.982,3,40%,-28.7964,-20%,47.994,-9.5988,79.99,95.988
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,494.376,4,40%,-115.3544,-23%,123.594,-28.8386,205.99,329.584
Standard,Class,Consumer,United,States,Tampa,Florida,33614,South,Furniture,Furnishings,45.696,3,20%,5.1408,11%,15.232,1.7136,19.04,11.424
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,55.188,2,40%,-10.1178,-18%,27.594,-5.0589,45.99,36.792
First,Class,Corporate,United,States,Dallas,Texas,75217,Central,Technology,Phones,369.576,3,20%,41.5773,11%,123.192,13.8591,153.99,92.394
Second,Class,Corporate,United,States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,728.946,9,40%,-157.9383,-22%,80.994,-17.5487,134.99,485.964
Standard,Class,Corporate,United,States,Dearborn,Michigan,48126,Central,Furniture,Chairs,301.96,2,0%,87.5684,29%,150.98,43.7842,150.98,0
Second,Class,Consumer,United,States,Aurora,Colorado,80013,West,Technology,Accessories,119.8,5,20%,29.95,25%,23.96,5.99,29.95,29.95
Second,Class,Consumer,United,States,Aurora,Colorado,80013,West,Technology,Phones,300.768,4,20%,30.0768,10%,75.192,7.5192,93.99,75.192
Second,Class,Consumer,United,States,Miami,Florida,33180,South,Technology,Accessories,17.88,3,20%,2.4585,14%,5.96,0.8195,7.45,4.47
Standard,Class,Corporate,United,States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,18.84,3,0%,6.0288,32%,6.28,2.0096,6.28,0
Second,Class,Corporate,United,States,Vancouver,Washington,98661,West,Furniture,Furnishings,14.8,4,0%,6.068,41%,3.7,1.517,3.7,0
Second,Class,Corporate,United,States,Vancouver,Washington,98661,West,Technology,Phones,302.376,3,20%,22.6782,8%,100.792,7.5594,125.99,75.594
Second,Class,Corporate,United,States,Vancouver,Washington,98661,West,Technology,Accessories,316,4,0%,31.6,10%,79,7.9,79,0
Standard,Class,Consumer,United,States,Arlington,Texas,76017,Central,Furniture,Tables,918.785,5,30%,-118.1295,-13%,183.757,-23.6259,262.51,393.765
Second,Class,Corporate,United,States,Dallas,Texas,75081,Central,Technology,Phones,381.576,3,20%,28.6182,8%,127.192,9.5394,158.99,95.394
First,Class,Consumer,United,States,Cleveland,Ohio,44105,East,Furniture,Furnishings,30.36,5,20%,8.7285,29%,6.072,1.7457,7.59,7.59
First,Class,Consumer,United,States,Columbus,Indiana,47201,Central,Technology,Accessories,99.39,3,0%,40.7499,41%,33.13,13.5833,33.13,0
Standard,Class,Consumer,United,States,Tyler,Texas,75701,Central,Technology,Accessories,27.816,3,20%,4.5201,16%,9.272,1.5067,11.59,6.954
Standard,Class,Consumer,United,States,Tyler,Texas,75701,Central,Furniture,Furnishings,82.524,3,60%,-41.262,-50%,27.508,-13.754,68.77,123.786
First,Class,Consumer,United,States,Jackson,Mississippi,39212,South,Technology,Accessories,479.97,3,0%,163.1898,34%,159.99,54.3966,159.99,0
Second,Class,Consumer,United,States,Waynesboro,Virginia,22980,South,Furniture,Furnishings,104.01,1,0%,14.5614,14%,104.01,14.5614,104.01,0
Second,Class,Consumer,United,States,Waynesboro,Virginia,22980,South,Technology,Phones,284.82,1,0%,74.0532,26%,284.82,74.0532,284.82,0
Standard,Class,Corporate,United,States,Cleveland,Ohio,44105,East,Furniture,Furnishings,15.072,3,20%,4.1448,28%,5.024,1.3816,6.28,3.768
Second,Class,Corporate,United,States,Seattle,Washington,98103,West,Furniture,Furnishings,209.88,3,0%,35.6796,17%,69.96,11.8932,69.96,0
First,Class,Consumer,United,States,Dover,Delaware,19901,East,Furniture,Furnishings,9.94,2,0%,3.0814,31%,4.97,1.5407,4.97,0
Standard,Class,Consumer,United,States,Newark,Ohio,43055,East,Furniture,Furnishings,103.056,3,20%,24.4758,24%,34.352,8.1586,42.94,25.764
Standard,Class,Corporate,United,States,Detroit,Michigan,48205,Central,Furniture,Tables,1652.94,3,0%,231.4116,14%,550.98,77.1372,550.98,0
Standard,Class,Consumer,United,States,Austin,Texas,78745,Central,Technology,Phones,55.992,1,20%,5.5992,10%,55.992,5.5992,69.99,13.998
Second,Class,Consumer,United,States,Evanston,Illinois,60201,Central,Technology,Phones,11.992,1,20%,0.8994,8%,11.992,0.8994,14.99,2.998
Standard,Class,Consumer,United,States,Trenton,Michigan,48183,Central,Furniture,Furnishings,157.74,11,0%,56.7864,36%,14.34,5.1624,14.34,0
Standard,Class,Corporate,United,States,Jacksonville,Florida,32216,South,Furniture,Tables,383.438,4,45%,-167.3184,-44%,95.8595,-41.8296,174.29,313.722
Standard,Class,Consumer,United,States,Columbus,Ohio,43229,East,Technology,Phones,107.982,3,40%,-26.9955,-25%,35.994,-8.9985,59.99,71.988
Standard,Class,Consumer,United,States,Arlington,Virginia,22204,South,Furniture,Chairs,641.96,2,0%,179.7488,28%,320.98,89.8744,320.98,0
Second,Class,Consumer,United,States,Columbus,Ohio,43229,East,Technology,Accessories,24,2,20%,-2.7,-11%,12,-1.35,15,6
Second,Class,Consumer,United,States,Columbus,Ohio,43229,East,Furniture,Bookcases,35.49,1,50%,-15.6156,-44%,35.49,-15.6156,70.98,35.49
Second,Class,Consumer,United,States,Columbus,Ohio,43229,East,Technology,Accessories,47.984,2,20%,0.5998,1%,23.992,0.2999,29.99,11.996
Standard,Class,Consumer,United,States,Lancaster,California,93534,West,Furniture,Chairs,348.928,2,20%,34.8928,10%,174.464,17.4464,218.08,87.232
Standard,Class,Consumer,United,States,Richmond,Virginia,23223,South,Furniture,Chairs,332.94,3,0%,79.9056,24%,110.98,26.6352,110.98,0
Standard,Class,Consumer,United,States,Denver,Colorado,80219,West,Technology,Phones,1983.968,4,20%,247.996,13%,495.992,61.999,619.99,495.992
First,Class,Consumer,United,States,Omaha,Nebraska,68104,Central,Furniture,Furnishings,28.4,2,0%,11.076,39%,14.2,5.538,14.2,0
First,Class,Consumer,United,States,Omaha,Nebraska,68104,Central,Technology,Accessories,149.97,3,0%,50.9898,34%,49.99,16.9966,49.99,0
First,Class,Consumer,United,States,Edmonds,Washington,98026,West,Furniture,Tables,1298.55,5,0%,311.652,24%,259.71,62.3304,259.71,0
First,Class,Consumer,United,States,Edmonds,Washington,98026,West,Technology,Accessories,25.78,2,0%,2.578,10%,12.89,1.289,12.89,0
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,1228.465,5,30%,0,0%,245.693,0,350.99,526.485
Second,Class,Consumer,United,States,Florence,Kentucky,41042,South,Furniture,Chairs,301.96,2,0%,90.588,30%,150.98,45.294,150.98,0
Second,Class,Consumer,United,States,Florence,Kentucky,41042,South,Technology,Phones,191.98,2,0%,51.8346,27%,95.99,25.9173,95.99,0
Second,Class,Consumer,United,States,Florence,Kentucky,41042,South,Technology,Phones,65.99,1,0%,17.1574,26%,65.99,17.1574,65.99,0
Standard,Class,Corporate,United,States,Tampa,Florida,33614,South,Technology,Machines,265.475,1,50%,-111.4995,-42%,265.475,-111.4995,530.95,265.475
Standard,Class,Consumer,United,States,Louisville,Kentucky,40214,South,Technology,Phones,83.72,7,0%,23.4416,28%,11.96,3.3488,11.96,0
Standard,Class,Consumer,United,States,Louisville,Kentucky,40214,South,Furniture,Chairs,287.94,3,0%,77.7438,27%,95.98,25.9146,95.98,0
Standard,Class,Consumer,United,States,Lorain,Ohio,44052,East,Furniture,Furnishings,48.896,4,20%,8.5568,18%,12.224,2.1392,15.28,12.224
Second,Class,Corporate,United,States,Jacksonville,Florida,32216,South,Technology,Accessories,191.472,6,20%,40.6878,21%,31.912,6.7813,39.89,47.868
Second,Class,Corporate,United,States,Jacksonville,Florida,32216,South,Technology,Phones,59.184,2,20%,5.1786,9%,29.592,2.5893,36.99,14.796
Standard,Class,Corporate,United,States,Springfield,Virginia,22153,South,Furniture,Furnishings,51.94,1,0%,21.2954,41%,51.94,21.2954,51.94,0
First,Class,Consumer,United,States,Chicago,Illinois,60653,Central,Technology,Phones,323.976,3,20%,20.2485,6%,107.992,6.7495,134.99,80.994
First,Class,Corporate,United,States,Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,46.94,1,0%,19.2454,41%,46.94,19.2454,46.94,0
First,Class,Corporate,United,States,Milwaukee,Wisconsin,53209,Central,Technology,Accessories,143.73,9,0%,56.0547,39%,15.97,6.2283,15.97,0
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19143,East,Technology,Accessories,252,5,20%,53.55,21%,50.4,10.71,63,63
Standard,Class,Corporate,United,States,Torrance,California,90503,West,Furniture,Tables,1114.272,4,20%,41.7852,4%,278.568,10.4463,348.21,278.568
First,Class,Consumer,United,States,Mesa,Arizona,85204,West,Furniture,Tables,393.165,3,50%,-204.4458,-52%,131.055,-68.1486,262.11,393.165
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19143,East,Furniture,Furnishings,25.472,4,20%,7.6416,30%,6.368,1.9104,7.96,6.368
Second,Class,Consumer,United,States,Phoenix,Arizona,85023,West,Technology,Phones,29.592,1,20%,2.5893,9%,29.592,2.5893,36.99,7.398
Same,Day,Consumer,United,States,Oceanside,California,92054,West,Furniture,Furnishings,204.6,2,0%,53.196,26%,102.3,26.598,102.3,0
Second,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,127.104,6,20%,28.5984,23%,21.184,4.7664,26.48,31.776
Second,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,124.2,3,40%,-31.05,-25%,41.4,-10.35,69,82.8
First,Class,Corporate,United,States,Detroit,Michigan,48205,Central,Technology,Machines,3059.982,2,10%,679.996,22%,1529.991,339.998,1699.99,339.998
